n,m,prob,eps,time,success,heavy_ranges,tries,red_points,blue_points,k,ratios
512,1024,0.9,0.2,0.0027298927307128906,True,82,-10,46,41,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]"
512,1024,0.9,0.3,0.0010805130004882812,True,34,-9,295,292,2,"[0.5, 0.5]"
512,1024,0.9,0.3,0.001024007797241211,True,28,-10,359,231,2,"[0.6, 0.4]"
512,1024,0.9,0.3,0.0010700225830078125,True,35,-10,418,171,2,"[0.7, 0.3]"
512,1024,0.9,0.3,0.0010378360748291016,True,36,-10,467,122,2,"[0.8, 0.2]"
512,1024,0.9,0.3,0.00130462646484375,True,34,-10,146,148,4,"[0.25, 0.25, 0.25, 0.25]"
512,1024,0.9,0.3,0.0016131401062011719,True,32,-9,78,78,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
512,1024,0.9,0.3,0.0022039413452148438,True,40,-10,36,37,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]"
512,1024,0.9,0.4,0.0008730888366699219,True,15,-10,213,213,2,"[0.5, 0.5]"
512,1024,0.9,0.4,0.0008025169372558594,True,21,-10,255,170,2,"[0.6, 0.4]"
512,1024,0.9,0.4,0.0008356571197509766,True,22,-10,298,127,2,"[0.7, 0.3]"
512,1024,0.9,0.4,0.0008649826049804688,True,16,-10,340,85,2,"[0.8, 0.2]"
512,1024,0.9,0.4,0.0010848045349121094,True,14,-10,133,142,4,"[0.25, 0.25, 0.25, 0.25]"
512,1024,0.9,0.4,0.0013442039489746094,True,15,-10,71,69,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
512,1024,0.9,0.4,0.0019109249114990234,True,20,-10,37,32,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]"
512,1024,0.9,0.5,0.00067901611328125,True,5,-10,160,160,2,"[0.5, 0.5]"
512,1024,0.9,0.5,0.0007085800170898438,True,4,-10,192,127,2,"[0.6, 0.4]"
512,1024,0.9,0.5,0.0007190704345703125,True,11,-10,224,95,2,"[0.7, 0.3]"
512,1024,0.9,0.5,0.0006387233734130859,True,12,-10,256,63,2,"[0.8, 0.2]"
512,1024,0.9,0.5,0.0010323524475097656,True,6,-10,134,132,4,"[0.25, 0.25, 0.25, 0.25]"
512,1024,0.9,0.5,0.0013270378112792969,True,12,-10,65,67,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
512,1024,0.9,0.5,0.0018398761749267578,True,11,-10,33,33,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]"
512,1024,0.9,0.6,0.0006208419799804688,True,2,-10,127,127,2,"[0.5, 0.5]"
512,1024,0.9,0.6,0.0006220340728759766,True,3,-10,152,101,2,"[0.6, 0.4]"
512,1024,0.9,0.6,0.0006301403045654297,True,2,-10,177,76,2,"[0.7, 0.3]"
512,1024,0.9,0.6,0.0005948543548583984,True,1,-10,203,50,2,"[0.8, 0.2]"
512,1024,0.9,0.6,0.0009512901306152344,True,2,-10,127,127,4,"[0.25, 0.25, 0.25, 0.25]"
512,1024,0.9,0.6,0.001299142837524414,True,4,-10,66,64,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
512,1024,0.9,0.6,0.0017490386962890625,True,3,-10,33,33,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]"
512,2048,0.9,0.2,0.0013699531555175781,True,186,-10,354,345,2,"[0.5, 0.5]"
512,2048,0.9,0.2,0.0013427734375,True,181,-10,420,278,2,"[0.6, 0.4]"
512,2048,0.9,0.2,0.001331329345703125,True,152,-9,486,204,2,"[0.7, 0.3]"
512,2048,0.9,0.2,0.0013370513916015625,True,153,-10,554,139,2,"[0.8, 0.2]"
512,2048,0.9,0.2,0.0015990734100341797,True,141,-9,179,167,4,"[0.25, 0.25, 0.25, 0.25]"
512,2048,0.9,0.2,0.004693746566772461,True,155,-6,85,84,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
512,2048,0.9,0.2,0.0026433467864990234,True,160,-10,38,40,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]"
512,2048,0.9,0.3,0.001100778579711914,True,62,-9,299,298,2,"[0.5, 0.5]"
512,2048,0.9,0.3,0.0010077953338623047,True,73,-10,345,237,2,"[0.6, 0.4]"
512,2048,0.9,0.3,0.0010712146759033203,True,61,-8,406,174,2,"[0.7, 0.3]"
512,2048,0.9,0.3,0.0010380744934082031,True,78,-10,469,115,2,"[0.8, 0.2]"
512,2048,0.9,0.3,0.0013034343719482422,True,57,-10,151,145,4,"[0.25, 0.25, 0.25, 0.25]"
512,2048,0.9,0.3,0.0016360282897949219,True,88,-9,71,77,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
512,2048,0.9,0.3,0.0021545886993408203,True,71,-10,33,33,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]"
512,2048,0.9,0.4,0.0008738040924072266,True,25,-10,213,213,2,"[0.5, 0.5]"
512,2048,0.9,0.4,0.0008707046508789062,True,38,-10,255,170,2,"[0.6, 0.4]"
512,2048,0.9,0.4,0.0008761882781982422,True,36,-10,298,127,2,"[0.7, 0.3]"
512,2048,0.9,0.4,0.0008516311645507812,True,23,-10,340,85,2,"[0.8, 0.2]"
512,2048,0.9,0.4,0.0011620521545410156,True,20,-10,136,139,4,"[0.25, 0.25, 0.25, 0.25]"
512,2048,0.9,0.4,0.001432657241821289,True,31,-10,68,70,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
512,2048,0.9,0.4,0.0019969940185546875,True,35,-10,34,38,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]"
512,2048,0.9,0.5,0.0007503032684326172,True,10,-10,160,160,2,"[0.5, 0.5]"
512,2048,0.9,0.5,0.0007321834564208984,True,15,-10,192,127,2,"[0.6, 0.4]"
512,2048,0.9,0.5,0.0007147789001464844,True,14,-10,224,95,2,"[0.7, 0.3]"
512,2048,0.9,0.5,0.0007140636444091797,True,9,-10,256,63,2,"[0.8, 0.2]"
512,2048,0.9,0.5,0.0010881423950195312,True,10,-10,137,137,4,"[0.25, 0.25, 0.25, 0.25]"
512,2048,0.9,0.5,0.0013608932495117188,True,12,-9,65,67,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
512,2048,0.9,0.5,0.0018150806427001953,True,17,-10,35,32,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]"
512,2048,0.9,0.6,0.0006394386291503906,True,7,-10,127,127,2,"[0.5, 0.5]"
512,2048,0.9,0.6,0.0006353855133056641,True,3,-10,152,101,2,"[0.6, 0.4]"
512,2048,0.9,0.6,0.0006339550018310547,True,6,-10,177,76,2,"[0.7, 0.3]"
512,2048,0.9,0.6,0.0006191730499267578,True,4,-10,203,50,2,"[0.8, 0.2]"
512,2048,0.9,0.6,0.0009882450103759766,True,5,-10,127,127,4,"[0.25, 0.25, 0.25, 0.25]"
512,2048,0.9,0.6,0.001313924789428711,True,9,-10,64,64,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
512,2048,0.9,0.6,0.0017435550689697266,True,1,-10,32,33,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]"
512,4096,0.9,0.2,0.0013842582702636719,True,376,-10,351,339,2,"[0.5, 0.5]"
512,4096,0.9,0.2,0.001394510269165039,True,314,-10,423,277,2,"[0.6, 0.4]"
512,4096,0.9,0.2,0.0013647079467773438,True,337,-10,483,214,2,"[0.7, 0.3]"
512,4096,0.9,0.2,0.001384735107421875,True,327,-10,570,139,2,"[0.8, 0.2]"
512,4096,0.9,0.2,0.0016503334045410156,True,328,-10,176,173,4,"[0.25, 0.25, 0.25, 0.25]"
512,4096,0.9,0.2,0.00201416015625,True,336,-10,88,92,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
512,4096,0.9,0.2,0.002630472183227539,True,329,-9,42,45,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]"
512,4096,0.9,0.3,0.0011136531829833984,True,119,-10,292,296,2,"[0.5, 0.5]"
512,4096,0.9,0.3,0.0010952949523925781,True,138,-10,352,225,2,"[0.6, 0.4]"
512,4096,0.9,0.3,0.0010788440704345703,True,148,-10,409,180,2,"[0.7, 0.3]"
512,4096,0.9,0.3,0.0010712146759033203,True,154,-10,471,120,2,"[0.8, 0.2]"
512,4096,0.9,0.3,0.0013189315795898438,True,125,-10,150,148,4,"[0.25, 0.25, 0.25, 0.25]"
512,4096,0.9,0.3,0.001641988754272461,True,165,-10,76,73,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
512,4096,0.9,0.3,0.002254009246826172,True,162,-10,36,36,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]"
512,4096,0.9,0.4,0.000896453857421875,True,60,-10,213,213,2,"[0.5, 0.5]"
512,4096,0.9,0.4,0.0008859634399414062,True,59,-10,255,170,2,"[0.6, 0.4]"
