eps,epsnet_size,fair_epsnet_size,epsnet_fairness_l2,fair_epsnet_fairness_l2,epsnet_fairness_linf,fair_epsnet_fairness_linf,unfair_time,fair_time
0.2,759,1137,0.017991543735186015,0.0008371363580216459,0.014906650789484527,0.0006361183830804196,0.0004949569702148438,0.012418270111083984
0.4,320,478,0.017792785509591746,0.0024076489182519394,0.0142822265625,0.001795301876307498,9.417533874511719e-05,0.00892496109008789
0.63,178,265,0.04935367967012058,0.0040088051467981915,0.040792058023174205,0.003374207694575526,0.00010347366333007812,0.008481502532958984
0.65,171,255,0.01791797770446991,0.0026728826670152643,0.013328864560489762,0.0018758138020833343,5.91278076171875e-05,0.008694887161254883
0.66,168,251,0.010750266021551439,0.0019280977303298957,0.00901867094494048,0.0016452743712649376,0.00010776519775390625,0.006430625915527344
