n,m,dim,prob,eps,time,success,heavy_ranges,tries,red_points,blue_points
512,4096,32,0.9,0.92,4.363059997558594e-05,True,1953,0,76,72
512,4096,32,0.9,0.94,4.2438507080078125e-05,True,1965,0,69,75
512,4096,32,0.9,0.96,4.291534423828125e-05,True,1985,0,72,68
512,4096,32,0.9,0.98,5.817413330078125e-05,True,1912,0,68,68
1024,512,4,0.9,0.9,5.245208740234375e-05,True,192,0,86,99
1024,512,4,0.9,0.92,3.9577484130859375e-05,True,190,0,91,89
1024,512,4,0.9,0.94,4.100799560546875e-05,True,163,0,97,78
1024,512,4,0.9,0.96,3.4809112548828125e-05,True,155,0,86,84
1024,512,4,0.9,0.98,5.054473876953125e-05,True,147,0,79,86
1024,512,8,0.9,0.9,3.504753112792969e-05,True,225,0,84,83
1024,512,8,0.9,0.92,3.3855438232421875e-05,True,231,0,79,83
1024,512,8,0.9,0.94,3.218650817871094e-05,True,201,0,61,96
1024,512,8,0.9,0.96,3.409385681152344e-05,True,187,0,75,78
1024,512,8,0.9,0.98,3.409385681152344e-05,True,192,0,68,81
1024,512,16,0.9,0.9,5.1021575927734375e-05,True,244,0,83,74
1024,512,16,0.9,0.92,3.409385681152344e-05,True,231,0,77,76
1024,512,16,0.9,0.94,3.218650817871094e-05,True,239,0,81,67
1024,512,16,0.9,0.96,3.361701965332031e-05,True,234,0,74,70
1024,512,16,0.9,0.98,3.266334533691406e-05,True,236,0,69,71
1024,512,32,0.9,0.9,3.457069396972656e-05,True,245,0,81,72
1024,512,32,0.9,0.92,3.337860107421875e-05,True,259,0,83,65
1024,512,32,0.9,0.94,3.0517578125e-05,True,245,0,76,68
1024,512,32,0.9,0.96,3.24249267578125e-05,True,241,0,71,69
1024,512,32,0.9,0.98,3.0517578125e-05,True,245,0,59,77
1024,1024,4,0.9,0.9,5.555152893066406e-05,True,374,0,79,106
1024,1024,4,0.9,0.92,3.838539123535156e-05,True,327,0,82,98
1024,1024,4,0.9,0.94,5.7697296142578125e-05,True,339,0,71,104
1024,1024,4,0.9,0.96,3.838539123535156e-05,True,322,0,78,92
1024,1024,4,0.9,0.98,3.790855407714844e-05,True,288,0,91,74
1024,1024,8,0.9,0.9,5.602836608886719e-05,True,430,0,83,84
1024,1024,8,0.9,0.92,5.364418029785156e-05,True,413,0,76,86
1024,1024,8,0.9,0.94,3.8623809814453125e-05,True,431,0,78,79
1024,1024,8,0.9,0.96,3.8623809814453125e-05,True,422,0,81,72
1024,1024,8,0.9,0.98,3.814697265625e-05,True,439,0,72,77
1024,1024,16,0.9,0.9,3.695487976074219e-05,True,477,0,75,82
1024,1024,16,0.9,0.92,4.100799560546875e-05,True,485,0,77,76
1024,1024,16,0.9,0.94,5.459785461425781e-05,True,483,0,71,77
1024,1024,16,0.9,0.96,3.910064697265625e-05,True,463,0,68,76
1024,1024,16,0.9,0.98,5.364418029785156e-05,True,419,0,74,66
1024,1024,32,0.9,0.9,3.981590270996094e-05,True,485,0,81,72
1024,1024,32,0.9,0.92,4.124641418457031e-05,True,506,0,71,77
1024,1024,32,0.9,0.94,3.814697265625e-05,True,504,0,65,79
1024,1024,32,0.9,0.96,3.814697265625e-05,True,485,0,73,67
1024,1024,32,0.9,0.98,3.7670135498046875e-05,True,480,0,72,64
